,ITTER107,Territorio,Tipo di coltivazione,Value
29018,ITF4,Puglia,pomodoro da industria in piena aria,15548140
29041,ITE4,Lazio,kiwi,2234800
29091,ITC1,Piemonte,olive da tavola,105
29155,ITE2,Umbria,nettarina (pesca noce),2200
29292,ITD5,Emilia-Romagna,loti o kaki,209595
29311,ITE2,Umbria,olive da tavola,10
29413,ITG2,Sardegna,melograno,1250
29423,ITE1,Toscana,pomodoro in piena aria,134370
29469,ITG1,Sicilia,kiwi,8830
29605,ITF6,Calabria,cotogno,74
29734,ITC3,Liguria,olive per olio,229200
29742,ITF3,Campania,olive da tavola e da olio,946511
29766,ITE2,Umbria,pesca,10660
29772,ITF5,Basilicata,olive da tavola e da olio,296428
29807,ITE3,Marche,melanzana in serra,301
29819,ITD4,Friuli-Venezia Giulia,pomodoro da industria in piena aria,1118
29898,ITD3,Veneto,uva da tavola,16260
29943,ITF4,Puglia,melograno,37355
29985,ITE4,Lazio,melanzana in serra,79050
29992,ITD5,Emilia-Romagna,pomodoro da industria in piena aria,16707084
30066,ITF4,Puglia,uva da vino,14200615
30094,ITC4,Lombardia,melograno,810
30111,ITE4,Lazio,carrubo,310
30201,ITD4,Friuli-Venezia Giulia,uva da vino,2399629
30231,ITE1,Toscana,melanzana in serra,1401
30284,ITE3,Marche,olive da tavola e da olio,177157
30347,ITD5,Emilia-Romagna,uva da vino,10127901
30361,ITF5,Basilicata,nettarina (pesca noce),215097
30455,ITF3,Campania,nettarina (pesca noce),468351
30523,ITF1,Abruzzo,uva da vino,4514983
30622,ITF6,Calabria,kiwi,385220
30644,ITF3,Campania,olive da tavola,7308
30717,ITE3,Marche,uva da tavola,1612
30808,ITE2,Umbria,susina,900
30910,ITF4,Puglia,olive per olio,5616560
30998,ITF6,Calabria,melanzana in serra,20241
31004,ITC1,Piemonte,susina,295072
31043,ITD3,Veneto,olive da tavola e da olio,243843
31080,ITF5,Basilicata,pesca,303163
31090,ITD5,Emilia-Romagna,melograno,1314
31094,ITF3,Campania,pesca,1709820
31551,ITC1,Piemonte,pomodoro in piena aria,97143
31595,ITC3,Liguria,pomodoro in piena aria,43450
31619,ITC4,Lombardia,pomodoro in piena aria,37980
31653,ITD3,Veneto,pomodoro in piena aria,16030
31688,ITD4,Friuli-Venezia Giulia,pomodoro in piena aria,4262
31710,ITD5,Emilia-Romagna,pomodoro in piena aria,132240
31808,ITE2,Umbria,pomodoro in piena aria,8000
31824,ITE3,Marche,pomodoro in piena aria,85085
31852,ITE4,Lazio,pomodoro in piena aria,373000
31884,ITF1,Abruzzo,pomodoro in piena aria,532860
31912,ITF2,Molise,pomodoro in piena aria,5750
31926,ITF3,Campania,pomodoro in piena aria,632824
31980,ITF5,Basilicata,pomodoro in piena aria,362815
31996,ITF6,Calabria,pomodoro in piena aria,432635
32028,ITG1,Sicilia,pomodoro in piena aria,1319550
32081,ITG2,Sardegna,pomodoro in piena aria,78000
32130,ITC1,Piemonte,pomodoro da industria in piena aria,592542
32182,ITD3,Veneto,pomodoro da industria in piena aria,885025
32272,ITE1,Toscana,pomodoro da industria in piena aria,1160070
32304,ITE2,Umbria,pomodoro da industria in piena aria,75600
32318,ITE3,Marche,pomodoro da industria in piena aria,10740
32340,ITE4,Lazio,pomodoro da industria in piena aria,1335500
32360,ITF1,Abruzzo,pomodoro da industria in piena aria,540205
32392,ITF3,Campania,pomodoro da industria in piena aria,2289714
32442,ITF5,Basilicata,pomodoro da industria in piena aria,1177758
32458,ITF6,Calabria,pomodoro da industria in piena aria,1137810
32482,ITG1,Sicilia,pomodoro da industria in piena aria,717000
32504,ITG2,Sardegna,pomodoro da industria in piena aria,315180
32909,ITC1,Piemonte,olive per olio,1222
32934,ITC4,Lombardia,olive per olio,49996
32952,ITD3,Veneto,olive per olio,243705
32966,ITD4,Friuli-Venezia Giulia,olive per olio,14500
32976,ITD5,Emilia-Romagna,olive per olio,72112
33010,ITF4,Puglia,cotogno,2695
33132,ITF2,Molise,pesca,28500
33188,ITF4,Puglia,pesca,677415
33325,ITC1,Piemonte,kiwi,1003105
33397,ITC2,Valle d'Aosta / Vallée d'Aoste,kiwi,200
33413,ITC3,Liguria,kiwi,1390
33445,ITC4,Lombardia,kiwi,119368
33533,ITD3,Veneto,kiwi,573940
33587,ITF3,Campania,loti o kaki,190046
33597,ITF6,Calabria,loti o kaki,1200
33605,ITG1,Sicilia,loti o kaki,32650
33744,ITF4,Puglia,carrubo,5745
33776,ITG1,Sicilia,carrubo,363455
33814,ITC4,Lombardia,funghi di coltivazione in piena aria,9205
33820,ITD3,Veneto,funghi di coltivazione in piena aria,345350
33834,ITD5,Emilia-Romagna,funghi di coltivazione in piena aria,140316
33848,ITE1,Toscana,funghi di coltivazione in piena aria,90
33854,ITE3,Marche,funghi di coltivazione in piena aria,158
33858,ITE4,Lazio,funghi di coltivazione in piena aria,73500
33867,ITF1,Abruzzo,funghi di coltivazione in piena aria,3880
33874,ITF3,Campania,funghi di coltivazione in piena aria,37780
33886,ITF4,Puglia,funghi di coltivazione in piena aria,71655
33896,ITF5,Basilicata,funghi di coltivazione in piena aria,1662
33900,ITF6,Calabria,funghi di coltivazione in piena aria,3435
33910,ITG1,Sicilia,funghi di coltivazione in piena aria,5710
33922,ITG2,Sardegna,funghi di coltivazione in piena aria,13986
33954,ITC1,Piemonte,frumento duro,85058
34002,ITC4,Lombardia,frumento duro,903960
34062,ITD3,Veneto,frumento duro,954790
34104,ITD4,Friuli-Venezia Giulia,frumento duro,18746
34128,ITD5,Emilia-Romagna,frumento duro,4126632
34194,ITE1,Toscana,frumento duro,2098021
34254,ITE2,Umbria,frumento duro,1086000
34272,ITE3,Marche,frumento duro,4557301
34302,ITE4,Lazio,frumento duro,1016300
34344,ITF1,Abruzzo,frumento duro,1197740
34374,ITF2,Molise,frumento duro,2070000
34392,ITF3,Campania,frumento duro,1848952
34428,ITF4,Puglia,frumento duro,9482500
34464,ITF5,Basilicata,frumento duro,3276272
34482,ITF6,Calabria,frumento duro,641184
34518,ITG1,Sicilia,frumento duro,7506612
34578,ITG2,Sardegna,frumento duro,575398
34638,ITC1,Piemonte,melanzana in serra,7001
34662,ITC3,Liguria,melanzana in serra,390
34674,ITC4,Lombardia,melanzana in serra,6103
34702,ITD3,Veneto,melanzana in serra,91960
34732,ITD4,Friuli-Venezia Giulia,melanzana in serra,1631
34782,ITG1,Sicilia,melanzana in serra,316392
34802,ITG2,Sardegna,melanzana in serra,3958
34878,ITF6,Calabria,fagiolo ,11082
34891,ITF3,Campania,bietola da costa in piena aria,31100
34943,ITD5,Emilia-Romagna,riso,418554
34954,ITD5,Emilia-Romagna,spinacio in serra,200
34964,ITF6,Calabria,altri cereali,99004
35064,ITE2,Umbria,patata comune ,60000
35122,ITF3,Campania,lattuga in serra,455882
35143,ITE2,Umbria,melanzana in piena aria,1240
35248,ITF4,Puglia,nocciola,190
35284,ITC4,Lombardia,nocciola,509
35297,ITG1,Sicilia,clementine,469030
35299,ITE3,Marche,batata o patata dolce ,4165
35322,ITE1,Toscana,peperone in piena aria,12544
35351,ITD3,Veneto,pisello proteico ,2230
35506,ITE3,Marche,girasole,833587
35511,ITC4,Lombardia,bieta da orto in serra,98
35556,ITC4,Lombardia,spinacio in serra,35300
35564,ITC4,Lombardia,altri ortaggi in serra,267028
35621,ITE3,Marche,sedano in serra,45
35743,ITG1,Sicilia,peperone in piena aria,279420
35755,ITC4,Lombardia,riso,6455725
35807,ITC1,Piemonte,patata primaticcia ,922
35900,ITG1,Sicilia,pisello in piena aria,41700
35910,ITE4,Lazio,fagiolo ,1707
35916,ITC1,Piemonte,asparago in piena aria,12420
36065,ITG1,Sicilia,altri cereali,149280
36090,ITF5,Basilicata,radicchio o cicoria in piena aria,37211
36205,ITF2,Molise,finocchio in piena aria,270000
36244,ITG2,Sardegna,asparago in serra,1047
36305,ITC1,Piemonte,patata comune ,385070
36326,ITF3,Campania,limone,249443
36334,ITF5,Basilicata,carciofo in piena aria,52158
36348,ITE2,Umbria,mela,20620
36371,ITD5,Emilia-Romagna,indivia (riccia e scarola) in piena aria,83630
36381,ITE1,Toscana,fagiolo ,6138
36387,ITC2,Valle d'Aosta / Vallée d'Aoste,fragola in piena aria,350
36422,ITF3,Campania,carciofo in piena aria,157567
36528,ITE3,Marche,mais,367404
36581,ITD3,Veneto,sedano in serra,13545
36643,ITE3,Marche,peperone in piena aria,11851
36668,ITF1,Abruzzo,fragola in piena aria,12400
36681,ITE4,Lazio,clementine,3450
36766,ITD4,Friuli-Venezia Giulia,nocciola,86
36908,ITF3,Campania,aglio e scalogno in piena aria,85834
36961,ITF1,Abruzzo,indivia (riccia e scarola) in piena aria,405430
36977,ITE3,Marche,pisello proteico ,35813
36983,ITF6,Calabria,pisello in piena aria,20232
36996,ITF3,Campania,mandarino,71265
37015,ITD5,Emilia-Romagna,canapa,104
37042,ITC1,Piemonte,ravanello in serra,887
37131,ITE2,Umbria,lattuga in piena aria,2760
37217,ITF4,Puglia,fava da granella ,97480
37261,ITF6,Calabria,fagiolo e fagiolino in piena aria,101286
37263,ITF6,Calabria,sorgo,15969
37303,ITC1,Piemonte,finocchio in piena aria,17154
37342,ITD3,Veneto,batata o patata dolce ,39107
37361,ITE2,Umbria,broccoletto di rapa in piena aria,525
37385,ITE1,Toscana,barbabietola da orto,28930
37391,ITC1,Piemonte,fagiolino in serra,751
37527,ITG2,Sardegna,fava da granella ,62324
37533,ITF5,Basilicata,albicocca,431363
37537,ITE1,Toscana,clementine,400
37558,ITC1,Piemonte,melanzana in piena aria,16690
37580,ITD3,Veneto,mais,13685180
37646,ITC4,Lombardia,asparago in serra,1800
37674,ITE4,Lazio,altri cereali,13720
37754,ITG1,Sicilia,fagiolo ,1810
37799,ITD3,Veneto,girasole,118778
37852,ITE4,Lazio,pisello in piena aria,2730
37864,ITF5,Basilicata,cetriolo da mensa in serra,2247
37934,ITD5,Emilia-Romagna,fragola in piena aria,69770
37950,ITC1,Piemonte,prezzemolo in piena aria,198
