,ITTER107,Territorio,Tipo di coltivazione,Value
37956,ITF1,Abruzzo,riso,183
37995,ITC3,Liguria,valeriana in serra,1350
38001,ITF3,Campania,cetriolo da mensa in serra,25800
38044,ITC1,Piemonte,fava fresca in piena aria,2230
38061,ITF6,Calabria,pera,44139
38065,ITE2,Umbria,ciliegia,1240
38089,ITE4,Lazio,peperone in piena aria,126420
38091,ITF2,Molise,mandorla,525
38162,ITG1,Sicilia,fagiolo e fagiolino in piena aria,50570
38287,ITE1,Toscana,altri cereali,184589
38329,ITD5,Emilia-Romagna,altri ortaggi in serra,56506
38408,ITF3,Campania,arancia,172804
38419,ITF1,Abruzzo,fava da granella ,141387
38486,ITF6,Calabria,sedano in serra,177
38508,ITD5,Emilia-Romagna,asparago in serra,25
38510,ITE4,Lazio,albicocca,9650
38584,ITF5,Basilicata,melanzana in piena aria,71797
38661,ITF3,Campania,melanzana in piena aria,577955
38692,ITF5,Basilicata,lattuga in serra,718
38716,ITE4,Lazio,girasole,74440
38748,ITD3,Veneto,lattuga in serra,329470
38754,ITF3,Campania,asparago in piena aria,1640
38798,ITF3,Campania,patata comune ,1504582
38869,ITF6,Calabria,girasole,1277
38895,ITF5,Basilicata,patata comune ,19500
38904,ITE4,Lazio,basilico in serra,2020
38962,ITE3,Marche,aglio e scalogno in piena aria,1866
39016,ITD3,Veneto,bietola da costa in piena aria,10080
39053,ITG1,Sicilia,mais,13500
39073,ITC1,Piemonte,lino,2360
39075,ITC1,Piemonte,colza,21958
39081,ITF6,Calabria,batata o patata dolce ,340
39171,ITE1,Toscana,pisello proteico ,4911
39207,ITF5,Basilicata,bietola da costa in piena aria,21755
39289,ITD3,Veneto,bietola in serra,7812
39313,ITE4,Lazio,sedano in serra,34840
39348,ITE1,Toscana,batata o patata dolce ,1300
39420,ITD3,Veneto,carciofo in piena aria,1728
39442,ITF1,Abruzzo,nocciola,1050
39465,ITC3,Liguria,fagiolo e fagiolino in piena aria,1030
39483,ITE3,Marche,basilico in serra,17
39487,ITE2,Umbria,colza,7440
39497,ITE3,Marche,albicocca,21066
39567,ITF4,Puglia,pera,59390
39727,ITF2,Molise,canapa,1800
39772,ITF5,Basilicata,limone,12100
39796,ITE2,Umbria,mandorla,50
39800,ITD3,Veneto,radicchio o cicoria in piena aria,1329930
39818,ITF5,Basilicata,mandarino,59195
39883,ITE1,Toscana,radicchio o cicoria in piena aria,24334
39995,ITE3,Marche,cetriolo da mensa in serra,98
40035,ITF6,Calabria,clementine,3426040
40041,ITE4,Lazio,pisello proteico ,1080
40078,ITC4,Lombardia,cocomero in serra,52075
40080,ITE2,Umbria,fragola in serra,700
40098,ITE4,Lazio,batata o patata dolce ,16500
40135,ITF3,Campania,mela,690350
40157,ITF4,Puglia,cocomero in serra,7780
40166,ITD5,Emilia-Romagna,bieta da orto in serra,1260
40191,ITG2,Sardegna,fagiolo e fagiolino in piena aria,9282
40207,ITD3,Veneto,aglio e scalogno in piena aria,41635
