,ITTER107,Territorio,TIPO_DATO5,Tipo variabile,AGRI_MADRE,Tipo di coltivazione,TIME,Seleziona periodo,Value
3800,ITF4,Puglia,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,523980
3836,ITF5,Basilicata,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,142223
3854,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,197370
3884,ITG1,Sicilia,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,1470650
3938,ITG2,Sardegna,HP_Q_EXT,produzione raccolta - quintali ,MELOOPENFI,popone o melone in piena aria,2018,2018,252804
3990,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,35510
4032,ITC3,Liguria,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,7220
4062,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,27248
4104,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,98381
4146,ITD4,Friuli-Venezia Giulia,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,7164
4164,ITD5,Emilia-Romagna,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,28897
4224,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,11733
4284,ITE2,Umbria,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,2000
4296,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,464
4326,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,1115200
4356,ITF1,Abruzzo,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,6667
4380,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,120077
4410,ITF4,Puglia,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,279865
4440,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,56202
4476,ITG1,Sicilia,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,339848
4536,ITG2,Sardegna,HP_Q_EXT,produzione raccolta - quintali ,COURINGRE,zucchina in serra,2018,2018,12018
4592,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,COURINOPE,zucchina in piena aria,2018,2018,241012
